Search for FDA Guidance Documents | FDA,,,,,,,,
Summary,Document,Issue Date,FDA Organization,Topic,Guidance Status,Open for Comment,Comment Closing Date on Draft,Docket Number
Classification of Posterior Cervical Screw Systems: Small Entity Compliance Guide:  Guidance for Industry and Food and Drug Administration Staff,PDF (58.41 KB)PDF (58.41 KB) of Classification of Posterior Cervical Screw Systems: Small Entity Compliance Guide:  Guidance for Industry and Food and Drug Administration Staff,05/04/2020,Center for Devices and Radiological Health,"Orthopedic, Premarket Approval (PMA)",Final,No,,FDA-2015-N-3785
Enforcement Priorities for Electronic Nicotine Delivery System (ENDS) and Other Deemed Products on the Market Without Premarket Authorization:  Guidance for Industry,PDF (872.13 KB)PDF (872.13 KB) of Enforcement Priorities for Electronic Nicotine Delivery System (ENDS) and Other Deemed Products on the Market Without Premarket Authorization:  Guidance for Industry,04/29/2020,Center for Tobacco Products,"Electronic Nicotine Delivery Systems (ENDS), Product Application and Review",Final,No,04/15/2019,FDA-2019-D-0661
eCopy Program for Medical Device Submissions:  Guidance for Industry and Food and Drug Administration Staff,PDF (566.73 KB)PDF (566.73 KB) of eCopy Program for Medical Device Submissions:  Guidance for Industry and Food and Drug Administration Staff,04/27/2020,Center for Devices and Radiological Health,"Premarket, User Fees, Administrative / Procedural, Investigational Device Exemption (IDE)",Final,No,,FDA-2018-N-0628
Nonbinding Feedback After Certain FDA Inspections of Device Establishments:  Guidance for Industry and Food and Drug Administration Staff,PDF (338.73 KB)PDF (338.73 KB) of Nonbinding Feedback After Certain FDA Inspections of Device Establishments:  Guidance for Industry and Food and Drug Administration Staff,04/22/2020,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Postmarket,",Final,No,04/20/2019,FDA-2018-D-4711
"Technical Considerations for Demonstrating Reliability of Emergency-Use Injectors Submitted under a BLA, NDA or ANDA: Draft Guidance for Industry and Food and Drug Administration Staff","PDF (451.26 KB)PDF (451.26 KB) of Technical Considerations for Demonstrating Reliability of Emergency-Use Injectors Submitted under a BLA, NDA or ANDA: Draft Guidance for Industry and Food and Drug Administration Staff",04/21/2020,"Office of the Commissioner,Office of Clinical Policy and Programs,Office of Combination ProductsCenter for Drug Evaluation and ResearchCenter for Biologics Evaluation and ResearchCenter for Devices and Radiological Health",Combination Products,Draft,No,06/22/2020,FDA-2019-D-5573
CVM GFI #259 (VICH GL58) Stability Testing of New Veterinary Drug Substances and Medicinal Products in Climatic Zones III and IV,PDF (200.75 KB)PDF (200.75 KB) of CVM GFI #259 (VICH GL58) Stability Testing of New Veterinary Drug Substances and Medicinal Products in Climatic Zones III and IV,04/14/2020,Center for Veterinary Medicine,"Chemistry, Manufacturing, and Controls (CMC), VICH",Final,No,02/26/2019,FDA-2018-D-4662
Developing and Labeling In vitro Companion Diagnostic Devices for a Specific Group of Oncology Therapeutic Products:  Guidance for Industry,PDF (323.18 KB)PDF (323.18 KB) of Developing and Labeling In vitro Companion Diagnostic Devices for a Specific Group of Oncology Therapeutic Products:  Guidance for Industry,04/13/2020,Center for Biologics Evaluation and ResearchCenter for Devices and Radiological HealthCenter for Drug Evaluation and ResearchOncology Center of Excellence,"Premarket, Labeling",Final,No,02/05/2019,FDA-2018-D-3380
Fees for Human Drug Compounding Outsourcing Facilities Under Sections 503B and 744K of the FD&C Act,PDF (172.27 KB)PDF (172.27 KB) of Fees for Human Drug Compounding Outsourcing Facilities Under Sections 503B and 744K of the FD&C Act,04/03/2020,Center for Drug Evaluation and Research,"User Fees, Compounding",Final,No,,FDA-2014-D-0329
Center for Devices and Radiological Health (CDRH) Appeals Processes: Questions and Answers About 517A:  Guidance for Industry and Food and Drug Administration Staff,PDF (329.57 KB)PDF (329.57 KB) of Center for Devices and Radiological Health (CDRH) Appeals Processes: Questions and Answers About 517A:  Guidance for Industry and Food and Drug Administration Staff,03/27/2020,Center for Devices and Radiological Health,"510(k), Premarket Approval (PMA), Administrative / Procedural",Final,No,,FDA-2013-D-0501
CPG Section 110.800 Post Detention Sampling Guidance for Industry,PDF (46.48 KB)PDF (46.48 KB) of CPG Section 110.800 Post Detention Sampling Guidance for Industry,03/24/2020,Office of Inspections and Investigations,"Investigation & Enforcement,",Final,No,,
Restricted Delivery Systems: Flow Restrictors for Oral Liquid Drug Products Guidance for Industry,PDF (143.43 KB)PDF (143.43 KB) of Restricted Delivery Systems: Flow Restrictors for Oral Liquid Drug Products Guidance for Industry,03/17/2020,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and ResearchCenter for Devices and Radiological Health,Device & Drug Safety,Draft,No,05/18/2020,FDA-2020-D-0567
Biological Product Deviation Reporting for Blood and Plasma Establishments:  Guidance for Industry,PDF (547.39 KB)PDF (547.39 KB) of  Biological Product Deviation Reporting for Blood and Plasma Establishments:  Guidance for Industry,03/12/2020,Center for Biologics Evaluation and Research,"Blood, Blood Products",Final,No,,FDA-2001-D-0007
Type 2 Diabetes Mellitus: Evaluating the Safety of New Drugs for Improving Glycemic Control Guidance for Industry,PDF (222.39 KB)PDF (222.39 KB) of Type 2 Diabetes Mellitus: Evaluating the Safety of New Drugs for Improving Glycemic Control Guidance for Industry,03/10/2020,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,06/08/2020,FDA-2019-N-6084
Premarket Notification (510(k)) Submissions for Electrosurgical Devices for General Surgery:  Guidance for Industry and Food and Drug Administration Staff,PDF (587.09 KB)PDF (587.09 KB) of Premarket Notification (510(k)) Submissions for Electrosurgical Devices for General Surgery:  Guidance for Industry and Food and Drug Administration Staff,03/09/2020,Center for Devices and Radiological Health,"Premarket, 510(k), Clinical - Medical, Good Clinical Practice (GCP), Labeling, General & Plastic Surgery",Final,No,,FDA-2014-D-0217
Contact Dermatitis From Topical Drug Products for Cutaneous Application: Human Safety Assessment Guidance for Industry,PDF (55.51 KB)PDF (55.51 KB) of Contact Dermatitis From Topical Drug Products for Cutaneous Application: Human Safety Assessment Guidance for Industry,03/06/2020,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,05/08/2020,FDA-2020-D-0043
The “Deemed to be a License” Provision of the BPCI Act: Questions and Answers :  Guidance for Industry,PDF (319.91 KB)PDF (319.91 KB) of The “Deemed to be a License” Provision of the BPCI Act: Questions and Answers :  Guidance for Industry,03/04/2020,"Center for Drug Evaluation and Research,Office of Regulatory PolicyCenter for Biologics Evaluation and Research",Administrative / Procedural,Final,No,,FDA-2015-D-4750.
Bone Anchors - Premarket Notification (510(k)) Submissions:  Guidance for Industry and Food and Drug Administration Staff,PDF (503.42 KB)PDF (503.42 KB) of Bone Anchors - Premarket Notification (510(k)) Submissions:  Guidance for Industry and Food and Drug Administration Staff,03/03/2020,Center for Devices and Radiological Health,"Premarket, 510(k), Orthopedic",Final,No,,FDA-2016-D-4436
"Product Recalls, Including Removals and Corrections:  Guidance for Industry","PDF (133.7 KB)PDF (133.7 KB) of Product Recalls, Including Removals and Corrections:  Guidance for Industry",03/02/2020,Center for Devices and Radiological HealthCenter for Biologics Evaluation and ResearchCenter for Drug Evaluation and ResearchHuman Foods ProgramCenter for Tobacco ProductsCenter for Veterinary Medicine,"Recalls,",Final,No,,
CVM GFI #264 Standardized Medicated Feed Assay Limits,PDF (85.07 KB)PDF (85.07 KB) of CVM GFI #264 Standardized Medicated Feed Assay Limits,02/27/2020,Center for Veterinary Medicine,"Animal Feed, Chemistry, Manufacturing, and Controls (CMC), Current Good Manufacturing Practice (CGMP), Target Animal – Safety, Target Animal – Effectiveness, Human Food Safety, Investigational New Animal Drug (INAD)",Draft,No,06/26/2020,FDA-2019-D-5664
Recommendations for Clinical Laboratory Improvement Amendments of 1988 (CLIA) Waiver Applications for Manufacturers of In Vitro Diagnostic Devices:  Guidance for Industry and Food and Drug Administration Staff,PDF (596.03 KB)PDF (596.03 KB) of Recommendations for Clinical Laboratory Improvement Amendments of 1988 (CLIA) Waiver Applications for Manufacturers of In Vitro Diagnostic Devices:  Guidance for Industry and Food and Drug Administration Staff,02/26/2020,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,CLIA (Clinical Laboratory Improvement Amendments),Final,No,,FDA-2017-D-5570
Recommendations for Dual 510(k) and CLIA Waiver by Application Studies:  Guidance for Industry and Food and Drug Administration Staff,PDF (392.56 KB)PDF (392.56 KB) of Recommendations for Dual 510(k) and CLIA Waiver by Application Studies:  Guidance for Industry and Food and Drug Administration Staff,02/26/2020,Center for Devices and Radiological Health,"Premarket, Postmarket, CLIA (Clinical Laboratory Improvement Amendments), 510(k)",Final,No,,FDA-2017-D-5625
Specifications for Preparing and Submitting Electronic ICSRs and ICSR Attachments,PDF (313.86 KB)PDF (313.86 KB) of Specifications for Preparing and Submitting Electronic ICSRs and ICSR Attachments,02/14/2020,Center for Drug Evaluation and Research,"Safety - Issues, Errors, and Problems",Final,No,,None found
Supplemental Draft Guidance for Industry: Mitigation Strategies to Protect Food Against Intentional Adulteration,PDF (459.08 KB)PDF (459.08 KB) of Supplemental Draft Guidance for Industry: Mitigation Strategies to Protect Food Against Intentional Adulteration,02/13/2020,Human Foods Program,,Draft,No,,FDA-2018-D-1398
Biosimilars and Interchangeable Biosimilars:  Licensure for Fewer Than All Conditions of Use for Which the Reference Product Has Been Licensed Guidance for Industry: Draft Guidance for Industry,PDF (378.7 KB)PDF (378.7 KB) of Biosimilars and Interchangeable Biosimilars:  Licensure for Fewer Than All Conditions of Use for Which the Reference Product Has Been Licensed Guidance for Industry: Draft Guidance for Industry,02/07/2020,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Biosimilars,Draft,No,04/06/2020,FDA-2019-D-5270
Use of Serological Tests to Reduce the Risk of Transfusion-Transmitted Human T-Lymphotropic Virus Types I and II (HTLV-I/II):  Guidance for Industry,PDF (781.67 KB)PDF (781.67 KB) of Use of Serological Tests to Reduce the Risk of Transfusion-Transmitted Human T-Lymphotropic Virus Types I and II (HTLV-I/II):  Guidance for Industry,02/05/2020,Center for Biologics Evaluation and Research,Blood Products,Final,No,,FDA-2018-D-3324
Mucopolysaccharidosis Type III (Sanfilippo Syndrome): Developing Drugs for Treatment Guidance for Industry: Draft Guidance for Industy,PDF (242.58 KB)PDF (242.58 KB) of Mucopolysaccharidosis Type III (Sanfilippo Syndrome): Developing Drugs for Treatment Guidance for Industry: Draft Guidance for Industy,02/04/2020,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,Clinical - Medical,Draft,No,05/05/2020,FDA-2019-D-5404
Small Entity Compliance Guide: Revision of the Nutrition and Supplement Facts Labels,PDF (1.05 MB)PDF (1.05 MB) of Small Entity Compliance Guide: Revision of the Nutrition and Supplement Facts Labels,02/03/2020,Human Foods Program,"Labeling, Nutrition Label",Final,No,,FDA-2012-N-1210
Long Term Follow-up After Administration of Human Gene Therapy Products:   Guidance for Industry,PDF (508.09 KB)PDF (508.09 KB) of Long Term Follow-up After Administration of Human Gene Therapy Products:   Guidance for Industry,01/28/2020,Center for Biologics Evaluation and Research,"Cellular & Gene Therapy,",Final,No,10/10/2018,FDA-2018-D-2173
"Chemistry, Manufacturing, and Control (CMC) Information for Human Gene Therapy Investigational New Drug Applications (INDs):  Guidance for Industry","PDF (466.7 KB)PDF (466.7 KB) of Chemistry, Manufacturing, and Control (CMC) Information for Human Gene Therapy Investigational New Drug Applications (INDs):  Guidance for Industry",01/28/2020,Center for Biologics Evaluation and Research,"Cellular & Gene Therapy, Gene Therapy",Final,No,10/10/2018,2008-D-0205
Human Gene Therapy for Hemophilia:  Guidance for Industry,PDF (260.41 KB)PDF (260.41 KB) of Human Gene Therapy for Hemophilia:  Guidance for Industry,01/28/2020,Center for Biologics Evaluation and Research,"Cellular & Gene Therapy, Gene Therapy",Final,No,10/18/2018,FDA 2018-D-2238
Human Gene Therapy for Rare Diseases:  Guidance for Industry,PDF (240.96 KB)PDF (240.96 KB) of Human Gene Therapy for Rare Diseases:  Guidance for Industry,01/28/2020,Center for Biologics Evaluation and Research,"Cellular & Gene Therapy, Gene Therapy, Pediatric Product Development",Final,No,10/10/2018,FDA-2018-D-2258
Human Gene Therapy for Retinal Disorders:  Guidance for Industry,PDF (107.86 KB)PDF (107.86 KB) of Human Gene Therapy for Retinal Disorders:  Guidance for Industry,01/28/2020,Center for Biologics Evaluation and Research,"Cellular & Gene Therapy, Gene Therapy, Pediatric Product Development",Final,No,10/10/2018,FDA-2018-D-2236
Testing of Retroviral Vector-Based Human Gene Therapy Products for Replication Competent Retrovirus During Product Manufacture and Patient Follow-up:  Guidance for Industry,PDF (227.35 KB)PDF (227.35 KB) of Testing of Retroviral Vector-Based Human Gene Therapy Products for Replication Competent Retrovirus During Product Manufacture and Patient Follow-up:  Guidance for Industry,01/28/2020,Center for Biologics Evaluation and Research,"Cellular & Gene Therapy, Gene Therapy",Final,No,10/10/2018,FDA-1999-D-0081
Hematologic Malignancies: Regulatory Considerations for Use of Minimal Residual Disease in Development of Drug and Biological Products for Treatment:  Guidance for Industry,PDF (153.92 KB)PDF (153.92 KB) of Hematologic Malignancies: Regulatory Considerations for Use of Minimal Residual Disease in Development of Drug and Biological Products for Treatment:  Guidance for Industry,01/24/2020,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Clinical - Medical,Final,No,,FDA-2018-D-3090
Current Good Manufacturing Practice—Guidance for Human Drug Compounding Outsourcing Facilities Under Section 503B of the FD&C Act Guidance for Industry: Draft Guidance for Industry,PDF (484.69 KB)PDF (484.69 KB) of Current Good Manufacturing Practice—Guidance for Human Drug Compounding Outsourcing Facilities Under Section 503B of the FD&C Act Guidance for Industry: Draft Guidance for Industry,01/22/2020,Center for Drug Evaluation and Research,"Compounding, Pharmaceutical Quality, Current Good Manufacturing Practice (CGMP)",Draft,No,02/11/2019,FDA-2014-D-0779
"Guidance for Industry: Serving Sizes of Foods That Can Reasonably Be Consumed At One Eating Occasion, Reference Amounts Customarily Consumed, Serving Size-Related Issues, Dual-Column Labeling, and Miscellaneous Topics","PDF (327.33 KB)PDF (327.33 KB) of Guidance for Industry: Serving Sizes of Foods That Can Reasonably Be Consumed At One Eating Occasion, Reference Amounts Customarily Consumed, Serving Size-Related Issues, Dual-Column Labeling, and Miscellaneous Topics",12/30/2019,Human Foods Program,"Labeling, Nutrition Label",Final,No,,FDA-2018-D-1459
Demonstrating Substantial Evidence of Effectiveness for Human Drug and Biological Products: Draft Guidance for Industry,PDF (367.32 KB)PDF (367.32 KB) of Demonstrating Substantial Evidence of Effectiveness for Human Drug and Biological Products: Draft Guidance for Industry,12/20/2019,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,Clinical - Medical,Draft,No,03/19/2020,FDA-2019-D-4964
Recommended Content and Format of Non-Clinical Bench Performance Testing Information in Premarket Submissions:  Guidance for Industry and Food and Drug Administration Staff,PDF (383.76 KB)PDF (383.76 KB) of Recommended Content and Format of Non-Clinical Bench Performance Testing Information in Premarket Submissions:  Guidance for Industry and Food and Drug Administration Staff,12/20/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket,",Final,No,,FDA-2018-D-1329
Submitting Study Datasets for Vaccines to the Office of Vaccines Research and Review:  Guidance for Industry; Technical Specifications Document,PDF (259.57 KB)PDF (259.57 KB) of Submitting Study Datasets for Vaccines to the Office of Vaccines Research and Review:  Guidance for Industry; Technical Specifications Document,12/20/2019,Center for Biologics Evaluation and Research,"Electronic Submissions, Administrative / Procedural",Final,No,,FDA-2018-D-1216
Considerations for the Development of Dried Plasma Products Intended for Transfusion:   Guidance for Industry,PDF (119.37 KB)PDF (119.37 KB) of Considerations for the Development of Dried Plasma Products Intended for Transfusion:   Guidance for Industry,12/19/2019,Center for Biologics Evaluation and Research,"Blood, Blood Products",Final,No,01/28/2019,FDA-2018-D-3759
Bridging for Drug-Device and Biologic-Device Combination Products: Draft  Guidance for Industry,PDF (323.45 KB)PDF (323.45 KB) of Bridging for Drug-Device and Biologic-Device Combination Products: Draft  Guidance for Industry,12/19/2019,"Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and ResearchCenter for Devices and Radiological HealthOffice of the Commissioner,Office of Clinical Policy and Programs,Office of Combination Products",Combination Products,Draft,No,02/18/2020,FDA-2019-D-5585
"Guidance for Industry: Nutrition and Supplement Facts Labels Questions and Answers Related to the Compliance Date, Added Sugars, and Declaration of Quantitative Amounts of Vitamins and Minerals","PDF (179.14 KB)PDF (179.14 KB) of Guidance for Industry: Nutrition and Supplement Facts Labels Questions and Answers Related to the Compliance Date, Added Sugars, and Declaration of Quantitative Amounts of Vitamins and Minerals",12/16/2019,Human Foods Program,"Labeling, Nutrition Label",Final,No,,FDA-2016-D-4414
"30-Day Notices, 135-Day Premarket Approval (PMA) Supplements and 75-Day Humanitarian Device Exemption (HDE) Supplements for Manufacturing Method or Process Changes:  Guidance for Industry and FDA Staff","PDF (215.75 KB)PDF (215.75 KB) of 30-Day Notices, 135-Day Premarket Approval (PMA) Supplements and 75-Day Humanitarian Device Exemption (HDE) Supplements for Manufacturing Method or Process Changes:  Guidance for Industry and FDA Staff",12/16/2019,Center for Biologics Evaluation and ResearchCenter for Devices and Radiological Health,"Premarket, Administrative / Procedural, Device & Drug Safety, HUD/HDE, Premarket Approval (PMA)",Final,No,,FDA-1998-D-0281
Real-Time Premarket Approval Application (PMA) Supplements:  Guidance for Industry and FDA Staff,PDF (122.66 KB)PDF (122.66 KB) of Real-Time Premarket Approval Application (PMA) Supplements:  Guidance for Industry and FDA Staff,12/16/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket, Administrative / Procedural, Device & Drug Safety, Premarket Approval (PMA)",Final,No,,FDA-2017-D-5971
Acceptance and Filing Reviews for Premarket Approval Applications (PMAs):  Guidance for Industry and Food and Drug Administration Staff,PDF (777.39 KB)PDF (777.39 KB) of Acceptance and Filing Reviews for Premarket Approval Applications (PMAs):  Guidance for Industry and Food and Drug Administration Staff,12/16/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket, Administrative / Procedural, Premarket Approval (PMA)",Final,No,,FDA-2012-D-0524
Annual Reports for Approved Premarket Approval Applications (PMA) :  Guidance for Industry and Food and Drug Administration Staff,PDF (146.07 KB)PDF (146.07 KB) of Annual Reports for Approved Premarket Approval Applications (PMA) :  Guidance for Industry and Food and Drug Administration Staff,12/16/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket, Administrative / Procedural, Device & Drug Safety, Premarket Approval (PMA)",Final,No,,FDA-2006-D-0039
Chapter 2 - Biologics,,12/13/2019,Center for Biologics Evaluation and Research,"Investigation & Enforcement,",Final,No,,
Development of Locally Applied Corticosteroid Products for the Short-Term Treatment of Symptoms Associated with Internal or External Hemorrhoids Guidance for Industry: Draft Guidance for Industry,PDF (94.79 KB)PDF (94.79 KB) of Development of Locally Applied Corticosteroid Products for the Short-Term Treatment of Symptoms Associated with Internal or External Hemorrhoids Guidance for Industry: Draft Guidance for Industry,12/09/2019,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,02/07/2020,FDA-2019-D-4433
Adaptive Design Clinical Trials for Drugs and Biologics Guidance for Industry,PDF (306.43 KB)PDF (306.43 KB) of Adaptive Design Clinical Trials for Drugs and Biologics Guidance for Industry,12/02/2019,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,"Biostatistics, Clinical - Medical",Final,No,,FDA-2018-D-3124
"CPG Sec. 230.150 Blood Donor Classification Statement, Paid or Volunteer Donor","PDF (72.09 KB)PDF (72.09 KB) of CPG Sec. 230.150 Blood Donor Classification Statement, Paid or Volunteer Donor",12/01/2019,Office of Regulatory Affairs,"Investigation & Enforcement, Blood Products",Final,No,,
Compliance Policy for Limited Modifications to Certain Marketed Tobacco Products:  Guidance for Industry,PDF (283.2 KB)PDF (283.2 KB) of Compliance Policy for Limited Modifications to Certain Marketed Tobacco Products:  Guidance for Industry,11/26/2019,Center for Tobacco Products,"Compliance,",Final,No,,FDA-2019-D-5324
Clinical Immunogenicity Considerations for Biosimilar and Interchangeable Insulin Products,PDF (165.86 KB)PDF (165.86 KB) of Clinical Immunogenicity Considerations for Biosimilar and Interchangeable Insulin Products,11/25/2019,Center for Drug Evaluation and Research,Biosimilars,Draft,No,01/28/2020,FDA-2019-D-5255
Transdermal and Topical Delivery Systems - Product Development and Quality Considerations,PDF (355.79 KB)PDF (355.79 KB) of Transdermal and Topical Delivery Systems - Product Development and Quality Considerations,11/21/2019,Center for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality, Drug Competition Action Plan",Draft,No,02/19/2020,FDA-2019-D-4447
Smallpox (Variola Virus) Infection: Developing Drugs for Treatment or Prevention Guidance for Industry,PDF (127.18 KB)PDF (127.18 KB) of Smallpox (Variola Virus) Infection: Developing Drugs for Treatment or Prevention Guidance for Industry,11/18/2019,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Final,No,,FDA-2018-D-1835
Drug Master Files Guidance for Industry,PDF (195.14 KB)PDF (195.14 KB) of Drug Master Files Guidance for Industry,11/15/2019,Center for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Draft,No,12/20/2019,FDA-2019-D-3989
Chronic Hepatitis D Virus Infection: Developing Drugs for Treatment  Guidance for Industry,PDF (323.63 KB)PDF (323.63 KB) of Chronic Hepatitis D Virus Infection: Developing Drugs for Treatment  Guidance for Industry,11/01/2019,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Draft,No,01/01/2020,FDA-2019-D-4042
Type V DMFs for CDER-Led Combination Products Using Device Constituent Parts With Electronics or Software Guidance for Industry,PDF (145.25 KB)PDF (145.25 KB) of Type V DMFs for CDER-Led Combination Products Using Device Constituent Parts With Electronics or Software Guidance for Industry,10/29/2019,Center for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Draft,No,12/30/2019,FDA-2019-D-4258
"Postmarketing Studies and Clinical Trials—Implementation of Section 505(o)(3) of the Federal Food, Drug, and Cosmetic Act Guidance for Industry: Draft Guidance for Industry","PDF (372.7 KB)PDF (372.7 KB) of Postmarketing Studies and Clinical Trials—Implementation of Section 505(o)(3) of the Federal Food, Drug, and Cosmetic Act Guidance for Industry: Draft Guidance for Industry",10/25/2019,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,"Safety - Issues, Errors, and Problems",Draft,No,,FDA-2009-D-0283
Identification of Manufacturing Establishments in Applications Submitted to CBER and CDER Questions and Answers,PDF (279 KB)PDF (279 KB) of Identification of Manufacturing Establishments in Applications Submitted to CBER and CDER Questions and Answers,10/22/2019,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Final,No,,FDA-2017-D-6821
"Prescription Drug User Fee Act Waivers, Reductions, and Refunds for Drug and Biological Products Guidance for Industry","PDF (514.8 KB)PDF (514.8 KB) of Prescription Drug User Fee Act Waivers, Reductions, and Refunds for Drug and Biological Products Guidance for Industry",10/17/2019,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"User Fees,",Final,No,,2019-22690
Investigational In Vitro Diagnostics in Oncology Trials: Streamlined Submission Process for Study Risk Determination Guidance for Industry,PDF (83.67 KB)PDF (83.67 KB) of Investigational In Vitro Diagnostics in Oncology Trials: Streamlined Submission Process for Study Risk Determination Guidance for Industry,10/10/2019,Center for Drug Evaluation and ResearchCenter for Devices and Radiological Health,Administrative / Procedural,Final,No,,FDA-2018-D-0944
"Coronary, Peripheral, and Neurovascular Guidewires - Performance Tests and Recommended Labeling:  Guidance for Industry and Food and Drug Administration Staff","PDF (527.16 KB)PDF (527.16 KB) of Coronary, Peripheral, and Neurovascular Guidewires - Performance Tests and Recommended Labeling:  Guidance for Industry and Food and Drug Administration Staff",10/10/2019,Center for Devices and Radiological Health,"Premarket, 510(k), Cardiovascular , Neurological",Final,No,,FDA-2018-D-1775
"Intravascular Catheters, Wires, and Delivery Systems with Lubricious Coatings - Labeling Considerations:  Guidance for Industry and Food and Drug Administration Staff","PDF (371.46 KB)PDF (371.46 KB) of Intravascular Catheters, Wires, and Delivery Systems with Lubricious Coatings - Labeling Considerations:  Guidance for Industry and Food and Drug Administration Staff",10/10/2019,Center for Devices and Radiological Health,"510(k), Premarket Approval (PMA), Labeling, Neurological, Cardiovascular",Final,No,,FDA-2018-D-1788
Investigational Enzyme Replacement Therapy Products:  Nonclinical Assessment:  Guidance for Industry,PDF (95.62 KB)PDF (95.62 KB) of Investigational Enzyme Replacement Therapy Products:  Nonclinical Assessment:  Guidance for Industry,10/03/2019,Center for Drug Evaluation and Research,Pharmacology/Toxicology,Final,No,01/02/2020,FDA-2015-D-1246
Further Testing of Donations that are Reactive on a Licensed Donor Screening Test for Antibodies to Hepatitis C Virus:  Guidance for Industry,PDF (109.92 KB)PDF (109.92 KB) of Further Testing of Donations that are Reactive on a Licensed Donor Screening Test for Antibodies to Hepatitis C Virus:  Guidance for Industry,10/02/2019,Center for Biologics Evaluation and Research,"Blood, Blood Products",Final,No,12/24/2018,FDA-2018-D-3197
Changes to Existing Medical Software Policies Resulting from Section 3060 of the 21st Century Cures Act:  Guidance for Industry and Food and Drug Administration Staff,PDF (660.31 KB)PDF (660.31 KB) of Changes to Existing Medical Software Policies Resulting from Section 3060 of the 21st Century Cures Act:  Guidance for Industry and Food and Drug Administration Staff,09/27/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Postmarket, Premarket, Digital Health",Final,No,,FDA-2017-D-6294
General Wellness: Policy for Low Risk Devices:  Guidance for Industry and Food and Drug Administration Staff,PDF (364.4 KB)PDF (364.4 KB) of General Wellness: Policy for Low Risk Devices:  Guidance for Industry and Food and Drug Administration Staff,09/27/2019,Center for Devices and Radiological Health,"Premarket, Digital Health",Final,No,,FDA-2014-N-1039
Amyotrophic Lateral Sclerosis: Developing Drugs for Treatment Guidance for Industry:  Guidance for Industry,PDF (228.24 KB)PDF (228.24 KB) of Amyotrophic Lateral Sclerosis: Developing Drugs for Treatment Guidance for Industry:  Guidance for Industry,09/24/2019,Center for Drug Evaluation and Research,Clinical - Medical,Final,No,,FDA-2013-N-0035
Wholesale Distributor Verification Requirement for Saleable Returned Drug Product—Compliance Policy Guidance for Industry:  Guidance for Industry,PDF (68.96 KB)PDF (68.96 KB) of Wholesale Distributor Verification Requirement for Saleable Returned Drug Product—Compliance Policy Guidance for Industry:  Guidance for Industry,09/20/2019,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and ResearchOffice of Regulatory Affairs,Administrative / Procedural,Final,No,,FDA-2019-D-4212
Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration,PDF (358.91 KB)PDF (358.91 KB) of Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration,09/20/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket, 510(k)",Final,No,,FDA-2018-D-1387
"Citizen Petitions and Petitions for Stay of Action Subject to Section 505(q) of the Federal Food, Drug, and Cosmetic Act:  Guidance for Industry","PDF (202.28 KB)PDF (202.28 KB) of Citizen Petitions and Petitions for Stay of Action Subject to Section 505(q) of the Federal Food, Drug, and Cosmetic Act:  Guidance for Industry",09/19/2019,Center for Drug Evaluation and Research,"Administrative / Procedural, Drug Competition Action Plan",Final,No,,FDA-2009-D-0008
The Abbreviated 510(k) Program:  Guidance for Industry and Food and Drug Administration Staff,PDF (282.19 KB)PDF (282.19 KB) of The Abbreviated 510(k) Program:  Guidance for Industry and Food and Drug Administration Staff,09/13/2019,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Premarket, 510(k)",Final,No,,FDA-2019-D-4015
